Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990],1989 [YR1989],1988 [YR1988],1987 [YR1987],1986 [YR1986],1985 [YR1985],1984 [YR1984],1983 [YR1983],1982 [YR1982],1981 [YR1981],1980 [YR1980],1979 [YR1979],1978 [YR1978],1977 [YR1977],1976 [YR1976],1975 [YR1975],1974 [YR1974],1973 [YR1973],1972 [YR1972],1971 [YR1971],1970 [YR1970],1969 [YR1969],1968 [YR1968],1967 [YR1967],1966 [YR1966],1965 [YR1965],1964 [YR1964],1963 [YR1963],1962 [YR1962],1961 [YR1961],1960 [YR1960]
Qatar,QAT,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,21.0596026490066,21.3649851632048,21.6666666666667,22.2423146473779,21.5163934426229,21.1267605633803,20.7650273224044,20.655737704918,21.6326530612245,22.9591836734694,23.125,23.134328358209,22.1238938053097,21.0526315789474,21.3333333333333,22.8070175438597,26.1904761904762,31.0344827586207,31.8181818181818,31.5789473684211,31.25,30.7692307692308,36.3636363636364,33.3333333333333,42.8571428571428,33.3333333333333,40,50,25,33.3333333333333,33.3333333333333,50,50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,37.7756898427455,38.4409026353164,39.2417213245881,39.9652758938744,40.700957865013,41.4245336348219,42.1077012159815,42.8333729498455,43.7171815850531,44.9081907626747,46.0724880691345,46.9193365749684,47.5763016157989,48.1640541120893,48.6597783767595,49.1186279180562,49.4576446280992,49.7219025700038,49.9338040600177,50.1040582726327,50.2502345949327,50.3313766332134,50.3396739130435,50.2384737678855,50.093574547723,49.870322341608,49.4591086109909,48.949256791389,48.3672211953173,47.6691729323308,46.8779123951538,45.8920187793427,44.7129909365559,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,RUS,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,32.5226099520766,32.2258883532609,31.9609422906995,31.7189894433961,31.4992071646242,31.3026793259432,31.092198673676,30.871902423915,30.6520115414936,30.4275610649419,30.2097910855225,29.9747266395116,29.7185721414965,29.3626186207198,28.9908279715754,28.7383364360031,28.6429059200504,28.4625711564279,28.2121475720207,27.9473947385029,27.659833054354,27.3753918593964,27.0716304634159,26.7554055345031,26.4439371323207,26.1413633506657,25.8453837033734,25.5585986654964,25.2955082742317,25.0683652737357,24.881797344731,24.713063615005,24.5450737655326,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,1000,1000,1000,1000,1200,1400,1600,2000,2300,2500,2700,2900,3100,3200,3500,3700,4000,4400,5300,5800,6100,6400,6700,7000,7300,7300,6000,5600,7700,8400,8100,7900,7500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Rwanda,RWA,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,62.9824940756987,62.8206650570193,62.6616871704745,62.5021436769226,62.3394923643281,62.1845730879902,62.0077278446961,61.8161434977578,61.6267157440482,61.445101852235,61.2969646600709,61.1772138069928,61.1039416128954,61.0558523459559,61.004507340669,60.9497019487575,60.8846563240792,60.8132732826008,60.7458292443572,60.6889908776701,60.6164030969442,60.6065757884867,60.651230700728,60.6982661385515,60.7145729343706,60.7003934171885,60.4877726688836,60.3288407572823,60.0416531679548,56.3005029437704,55.7557564340602,55.1492897263151,54.4880650680232,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Samoa,WSM,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Samoa,WSM,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
San Marino,SMR,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
San Marino,SMR,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,59.843290891283,59.3992248062016,58.9251439539347,58.3412774070543,57.9792256846081,57.5559701492537,57.208448117539,56.6816143497758,55.8441558441558,54.9295774647887,54.1501976284585,53.4039334341906,52.4945770065076,51.5485203028218,50.7501630789302,49.9384993849938,49.2182976259409,48.6088379705401,48.0492813141684,47.6581361661033,47.3732297852901,47.1078001752848,46.7959527824621,46.5475223395613,46.2727993655829,46.0211681693454,45.8003169572108,45.514133551823,45.2276707530648,44.8910411622276,44.5073612684032,44.0467997247075,43.49376114082,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,SAU,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,500,200,200,200,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,200,200,200,500,500,500,500,500,200,200,200,200,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Saudi Arabia,SAU,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,15.141446743877,15.9671045605041,16.7983956588416,17.5231887691151,18.6477059297022,19.7040169133192,20.6540697674419,21.9599109131403,22.9468960359013,23.2382922145073,23.4683580798616,23.6845797670829,23.8602238602239,23.9617885100173,23.9938080495356,24.0381000125329,24.0594179958602,24.0848240729771,24.1666666666667,24.5019696117051,25.1537859299855,26.0770975056689,27.2716586340661,28.8108040515193,30.7041484716157,32.9767726161369,35.632988968657,38.5982836125868,41.7971573114912,45.0514874141876,48.3704974271012,52.1996615905245,56.3328033916269,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Young people (ages 15-24) newly infected with HIV,SH.HIV.INCD.YG,..,500,200,200,200,500,500,500,200,500,500,500,500,500,500,500,500,1000,1000,1000,1000,1000,1000,1200,1200,1200,1000,1000,1000,1000,1000,500,500,500,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
